venta_id,fecha,hora,cliente_id,producto,categoria,cantidad,precio_unitario,subtotal,metodo_pago,empleado,sucursal,dia_semana
81,2026-05-10,07:15,1121,Baguette,Pan,1,1.74,1.74,SINPE,María,Sur,Viernes
82,2026-04-15,20:28,1304,Pan Integral,Pan,4,2.26,9.04,SINPE,María,Norte,Viernes
83,2026-06-04,18:13,1640,Capuchino,Bebidas,1,3.24,3.24,Efectivo,Carlos,Sur,Lunes
84,2026-01-06,06:26,1461,Croissant,Repostería,4,1.45,5.8,SINPE,Sofía,Norte,Miércoles
85,2026-03-23,19:29,1072,Pan Francés,Pan,4,0.44,1.76,SINPE,Luis,Norte,Domingo
86,2026-05-08,16:09,1272,Pan Integral,Pan,4,2.18,8.72,Efectivo,Ana,Centro,Martes
87,2026-05-10,13:07,1479,Pan Integral,Pan,5,2.22,11.1,SINPE,Carlos,Sur,Jueves
88,2026-05-02,20:27,1752,Queque Chocolate,Pasteles,8,11.93,95.44,Tarjeta,Sofía,Norte,Lunes
89,2026-05-19,06:48,1688,Baguette,Pan,4,1.88,7.52,Tarjeta,Sofía,Centro,Domingo
90,2026-06-15,20:17,1185,Pan Integral,Pan,3,2.19,6.57,SINPE,María,Sur,Domingo
91,2026-04-11,11:42,1107,Empanada Queso,Salado,2,2.29,4.58,Efectivo,Carlos,Norte,Sábado
92,2026-04-27,18:35,1037,Empanada Queso,Salado,5,2.34,11.7,Tarjeta,Ana,Norte,Miércoles
93,2026-04-28,14:52,1001,Queque Vainilla,Pasteles,2,10.47,20.94,SINPE,Sofía,Norte,Jueves
94,2026-05-25,13:40,1452,Pan Francés,Pan,4,0.45,1.8,Efectivo,Luis,Norte,Viernes
95,2026-06-16,07:01,1645,Croissant,Repostería,5,1.49,7.45,SINPE,Luis,Sur,Martes
96,2026-01-08,19:58,1116,Queque Chocolate,Pasteles,1,12.06,12.06,Tarjeta,Ana,Sur,Domingo
97,2026-03-17,17:17,1425,Croissant,Repostería,8,1.56,12.48,Tarjeta,María,Centro,Jueves
98,2026-05-17,17:56,1139,Café,Bebidas,3,1.98,5.94,Efectivo,Carlos,Norte,Miércoles
99,2026-03-24,10:53,1601,Muffin,Repostería,5,2.48,12.4,SINPE,José,Norte,Domingo
100,2026-03-11,14:48,1556,Croissant,Repostería,8,1.51,12.08,Tarjeta,María,Norte,Domingo
101,2026-02-28,18:26,1044,Dona,Repostería,4,1.21,4.84,Tarjeta,José,Norte,Sábado
102,2026-06-26,19:41,1155,Muffin,Repostería,7,2.37,16.59,Tarjeta,Ana,Centro,Viernes
103,2026-04-04,14:58,1467,Capuchino,Bebidas,6,3.32,19.92,Efectivo,José,Centro,Jueves
104,2026-03-11,15:44,1407,Pan Dulce,Pan,3,1.05,3.15,SINPE,Ana,Norte,Domingo
105,2026-06-23,20:48,1499,Jugo Natural,Bebidas,7,2.93,20.51,SINPE,Ana,Sur,Lunes
106,2026-06-03,12:06,1778,Dona,Repostería,5,1.26,6.3,SINPE,José,Centro,Jueves
107,2026-01-11,18:03,1300,Croissant,Repostería,5,1.56,7.8,Tarjeta,Carlos,Norte,Martes
108,2026-02-06,08:05,1624,Dona,Repostería,7,1.21,8.47,Tarjeta,Sofía,Sur,Martes
109,2026-06-09,13:16,1682,Empanada Queso,Salado,3,2.24,6.72,Efectivo,María,Norte,Sábado
110,2026-03-19,10:40,1434,Café,Bebidas,3,1.91,5.73,SINPE,Carlos,Norte,Domingo
111,2026-04-04,09:24,1585,Queque Chocolate,Pasteles,4,12.6,50.4,Tarjeta,Sofía,Norte,Sábado
112,2026-06-13,10:00,1579,Queque Chocolate,Pasteles,1,12.57,12.57,SINPE,José,Centro,Viernes
113,2026-03-25,18:14,1621,Galletas,Repostería,8,3.62,28.96,Tarjeta,Luis,Sur,Martes
114,2026-06-25,16:43,1140,Capuchino,Bebidas,5,3.26,16.3,SINPE,Ana,Sur,Sábado
115,2026-01-19,11:46,1134,Pan Francés,Pan,5,0.46,2.3,Efectivo,Carlos,Norte,Sábado
116,2026-05-12,14:32,1279,Empanada Pollo,Salado,3,2.43,7.29,Efectivo,Carlos,Norte,Domingo
117,2026-04-03,08:48,1231,Queque Chocolate,Pasteles,6,12.37,74.22,SINPE,José,Sur,Jueves
118,2026-04-01,10:34,1126,Pan Dulce,Pan,6,1.05,6.3,Tarjeta,Carlos,Sur,Sábado
119,2026-06-12,07:43,1239,Jugo Natural,Bebidas,5,2.82,14.1,Tarjeta,Ana,Sur,Viernes
120,2026-06-27,13:58,1717,Queque Vainilla,Pasteles,4,10.15,40.6,Tarjeta,José,Norte,Lunes
121,2026-03-16,07:06,1240,Croissant,Repostería,1,1.57,1.57,SINPE,Luis,Norte,Jueves
122,2026-06-05,20:26,1670,Queque Vainilla,Pasteles,7,10.09,70.63,Efectivo,María,Sur,Jueves
123,2026-02-15,13:15,1371,Queque Chocolate,Pasteles,1,12.23,12.23,Efectivo,José,Norte,Viernes
124,2026-03-07,07:54,1465,Muffin,Repostería,6,2.29,13.74,Efectivo,José,Centro,Sábado
125,2026-03-08,08:50,1578,Jugo Natural,Bebidas,1,2.67,2.67,Efectivo,Ana,Sur,Martes
126,2026-02-11,18:09,1610,Capuchino,Bebidas,4,3.3,13.2,Efectivo,Carlos,Centro,Martes
127,2026-01-22,19:01,1134,Café,Bebidas,5,2.06,10.3,Efectivo,Carlos,Centro,Viernes
128,2026-01-05,17:26,1538,Queque Vainilla,Pasteles,1,9.67,9.67,Efectivo,José,Centro,Jueves
129,2026-01-15,14:14,1629,Empanada Queso,Salado,6,2.3,13.8,Efectivo,José,Sur,Viernes
130,2026-01-02,13:54,1411,Queque Chocolate,Pasteles,8,12.17,97.36,Tarjeta,José,Centro,Jueves
131,2026-01-11,15:09,1067,Galletas,Repostería,8,3.35,26.8,Efectivo,Carlos,Sur,Sábado
132,2026-05-17,10:29,1517,Capuchino,Bebidas,6,3.16,18.96,SINPE,María,Centro,Domingo
133,2026-06-25,14:46,1220,Galletas,Repostería,2,3.62,7.24,Tarjeta,María,Centro,Jueves
134,2026-06-04,11:27,1320,Queque Vainilla,Pasteles,8,9.9,79.2,SINPE,Carlos,Norte,Martes
135,2026-01-03,12:06,1762,Jugo Natural,Bebidas,8,2.68,21.44,SINPE,Carlos,Centro,Viernes
136,2026-04-12,19:42,1768,Pan Francés,Pan,6,0.46,2.76,Tarjeta,José,Centro,Miércoles
137,2026-05-17,09:09,1672,Capuchino,Bebidas,5,3.15,15.75,Tarjeta,Luis,Centro,Miércoles
138,2026-03-19,09:51,1439,Pan Dulce,Pan,6,1.06,6.36,SINPE,Sofía,Sur,Sábado
139,2026-06-27,17:17,1029,Jugo Natural,Bebidas,1,2.83,2.83,Efectivo,Carlos,Sur,Domingo
140,2026-02-28,08:36,1673,Queque Chocolate,Pasteles,6,11.82,70.92,Tarjeta,Ana,Centro,Sábado
141,2026-05-07,12:26,1464,Jugo Natural,Bebidas,1,2.69,2.69,Tarjeta,Luis,Norte,Miércoles
142,2026-05-20,07:56,1053,Galletas,Repostería,6,3.6,21.6,Efectivo,Luis,Sur,Lunes
143,2026-06-14,13:38,1452,Jugo Natural,Bebidas,2,2.74,5.48,Tarjeta,Carlos,Centro,Domingo
144,2026-01-10,16:43,1607,Café,Bebidas,2,1.97,3.94,Tarjeta,Sofía,Sur,Miércoles
145,2026-05-02,06:13,1308,Pan Francés,Pan,4,0.45,1.8,Efectivo,Luis,Norte,Miércoles
146,2026-06-14,08:08,1389,Queque Vainilla,Pasteles,2,9.51,19.02,SINPE,José,Centro,Viernes
147,2026-06-02,12:01,1470,Café,Bebidas,6,1.91,11.46,Efectivo,Carlos,Sur,Jueves
148,2026-04-10,07:25,1021,Capuchino,Bebidas,7,3.27,22.89,Tarjeta,Luis,Sur,Jueves
149,2026-01-08,12:37,1410,Pan Dulce,Pan,6,1.05,6.3,SINPE,Ana,Norte,Domingo
150,2026-02-03,14:40,1116,Queque Chocolate,Pasteles,6,11.67,70.02,SINPE,Sofía,Centro,Domingo
151,2026-06-27,08:15,1105,Queque Vainilla,Pasteles,6,10.23,61.38,Efectivo,Carlos,Centro,Martes
152,2026-06-03,08:49,1643,Capuchino,Bebidas,3,3.28,9.84,Tarjeta,María,Sur,Domingo
153,2026-05-21,16:39,1330,Capuchino,Bebidas,8,3.26,26.08,SINPE,Carlos,Centro,Jueves
154,2026-03-26,10:37,1057,Baguette,Pan,8,1.79,14.32,Tarjeta,Sofía,Centro,Miércoles
155,2026-03-27,10:04,1660,Empanada Queso,Salado,8,2.19,17.52,Efectivo,Sofía,Sur,Viernes
156,2026-06-02,13:58,1585,Empanada Pollo,Salado,8,2.52,20.16,SINPE,Luis,Norte,Viernes
157,2026-04-04,18:57,1351,Empanada Queso,Salado,3,2.41,7.23,SINPE,Ana,Sur,Sábado
158,2026-04-15,14:33,1624,Croissant,Repostería,1,1.46,1.46,Efectivo,Carlos,Norte,Miércoles
159,2026-06-20,06:50,1646,Empanada Pollo,Salado,7,2.57,17.99,SINPE,Carlos,Centro,Miércoles
160,2026-06-28,16:58,1617,Baguette,Pan,7,1.76,12.32,Efectivo,Carlos,Centro,Viernes
161,2026-03-21,17:42,1401,Jugo Natural,Bebidas,3,2.92,8.76,Efectivo,Sofía,Sur,Lunes
162,2026-03-27,08:42,1719,Queque Chocolate,Pasteles,7,12.17,85.19,SINPE,José,Sur,Lunes
163,2026-01-12,10:11,1219,Jugo Natural,Bebidas,7,2.8,19.6,Tarjeta,María,Centro,Martes
164,2026-01-17,18:34,1756,Croissant,Repostería,3,1.44,4.32,SINPE,Ana,Sur,Miércoles
165,2026-02-06,08:53,1709,Muffin,Repostería,3,2.42,7.26,SINPE,Luis,Sur,Jueves
166,2026-06-08,13:39,1291,Pan Francés,Pan,7,0.44,3.08,SINPE,María,Centro,Viernes
167,2026-04-27,09:23,1694,Dona,Repostería,5,1.26,6.3,SINPE,María,Norte,Domingo
168,2026-04-06,19:12,1619,Queque Chocolate,Pasteles,7,12.0,84.0,Efectivo,Carlos,Centro,Sábado
169,2026-01-23,19:33,1127,Empanada Queso,Salado,6,2.31,13.86,Tarjeta,Ana,Centro,Miércoles
170,2026-01-08,19:28,1357,Empanada Queso,Salado,3,2.38,7.14,Efectivo,María,Centro,Jueves
171,2026-01-12,09:01,1326,Café,Bebidas,6,1.95,11.7,Efectivo,José,Sur,Miércoles
172,2026-03-27,13:44,1142,Pan Integral,Pan,3,2.12,6.36,SINPE,María,Norte,Viernes
173,2026-02-27,08:35,1744,Pan Francés,Pan,2,0.43,0.86,SINPE,Sofía,Norte,Lunes
174,2026-01-02,09:26,1654,Pan Integral,Pan,5,2.14,10.7,SINPE,María,Centro,Lunes
175,2026-01-21,14:36,1247,Pan Dulce,Pan,8,1.11,8.88,SINPE,Luis,Norte,Jueves
176,2026-04-06,16:42,1087,Pan Francés,Pan,6,0.44,2.64,SINPE,Carlos,Centro,Viernes
177,2026-04-02,16:24,1382,Café,Bebidas,1,1.98,1.98,Tarjeta,José,Centro,Miércoles
178,2026-06-22,16:06,1790,Pan Integral,Pan,2,2.17,4.34,SINPE,José,Norte,Martes
179,2026-06-06,19:49,1701,Pan Francés,Pan,6,0.45,2.7,Tarjeta,José,Norte,Sábado
180,2026-04-02,10:12,1044,Croissant,Repostería,3,1.43,4.29,Efectivo,Ana,Norte,Miércoles
181,2026-05-16,10:02,1771,Café,Bebidas,7,2.1,14.7,SINPE,Luis,Norte,Miércoles
182,2026-03-09,07:51,1376,Pan Dulce,Pan,1,1.14,1.14,Tarjeta,María,Sur,Jueves
183,2026-02-16,17:31,1376,Muffin,Repostería,7,2.36,16.52,SINPE,Carlos,Centro,Sábado
184,2026-02-18,10:20,1105,Empanada Pollo,Salado,2,2.48,4.96,Efectivo,Carlos,Sur,Miércoles
185,2026-04-06,17:28,1359,Queque Chocolate,Pasteles,8,12.12,96.96,Tarjeta,Ana,Sur,Domingo
186,2026-04-09,16:50,1058,Muffin,Repostería,6,2.43,14.58,Efectivo,José,Sur,Jueves
187,2026-02-28,15:43,1800,Queque Vainilla,Pasteles,3,10.45,31.35,Tarjeta,Ana,Centro,Lunes
188,2026-05-02,15:09,1695,Dona,Repostería,6,1.18,7.08,Tarjeta,Carlos,Norte,Jueves
189,2026-05-12,12:20,1665,Pan Integral,Pan,2,2.22,4.44,Tarjeta,Luis,Centro,Lunes
190,2026-04-18,07:16,1793,Galletas,Repostería,3,3.5,10.5,Tarjeta,José,Norte,Martes
191,2026-04-07,07:08,1075,Capuchino,Bebidas,5,3.26,16.3,Tarjeta,Luis,Sur,Jueves
192,2026-06-03,14:34,1297,Baguette,Pan,6,1.83,10.98,Tarjeta,Luis,Sur,Sábado
193,2026-05-08,07:12,1142,Muffin,Repostería,3,2.47,7.41,Efectivo,María,Centro,Miércoles
194,2026-05-05,15:56,1088,Café,Bebidas,6,1.99,11.94,Efectivo,Carlos,Norte,Sábado
195,2026-04-27,15:04,1128,Galletas,Repostería,8,3.51,28.08,Tarjeta,José,Centro,Jueves
196,2026-05-21,15:11,1786,Empanada Queso,Salado,6,2.21,13.26,Efectivo,María,Sur,Domingo
197,2026-03-06,08:20,1726,Pan Francés,Pan,2,0.45,0.9,Efectivo,Carlos,Sur,Miércoles
198,2026-06-18,10:08,1640,Pan Dulce,Pan,2,1.07,2.14,Tarjeta,Sofía,Sur,Lunes
199,2026-05-05,08:42,1639,Café,Bebidas,3,2.02,6.06,SINPE,Sofía,Norte,Domingo
200,2026-01-03,06:41,1789,Muffin,Repostería,1,2.48,2.48,SINPE,Carlos,Sur,Martes
201,2026-01-16,20:40,1558,Pan Integral,Pan,7,2.23,15.61,Tarjeta,José,Norte,Jueves
202,2026-01-23,06:10,1450,Dona,Repostería,7,1.18,8.26,Tarjeta,María,Norte,Martes
203,2026-06-11,17:55,1353,Queque Vainilla,Pasteles,3,9.81,29.43,Tarjeta,Luis,Norte,Viernes
204,2026-04-04,10:28,1253,Café,Bebidas,2,1.96,3.92,Efectivo,Ana,Centro,Miércoles
205,2026-02-27,11:59,1591,Empanada Pollo,Salado,7,2.44,17.08,SINPE,Carlos,Centro,Domingo
206,2026-04-16,20:19,1509,Croissant,Repostería,8,1.57,12.56,Efectivo,Ana,Norte,Viernes
207,2026-03-02,06:18,1506,Empanada Queso,Salado,4,2.23,8.92,SINPE,José,Sur,Jueves
208,2026-04-05,20:16,1744,Queque Chocolate,Pasteles,1,12.42,12.42,Tarjeta,María,Norte,Lunes
209,2026-02-12,14:18,1075,Empanada Pollo,Salado,1,2.52,2.52,Tarjeta,Sofía,Norte,Domingo
210,2026-05-22,15:07,1131,Café,Bebidas,5,2.07,10.35,Efectivo,María,Norte,Domingo
211,2026-02-20,14:25,1512,Queque Vainilla,Pasteles,6,10.25,61.5,Efectivo,Ana,Centro,Martes
212,2026-05-15,08:38,1527,Galletas,Repostería,6,3.61,21.66,Efectivo,Carlos,Sur,Miércoles
213,2026-06-27,10:37,1344,Croissant,Repostería,7,1.57,10.99,SINPE,Sofía,Sur,Jueves
214,2026-01-12,11:43,1112,Galletas,Repostería,5,3.49,17.45,Tarjeta,Sofía,Norte,Domingo
215,2026-03-21,18:49,1592,Muffin,Repostería,1,2.42,2.42,SINPE,Luis,Sur,Lunes
216,2026-06-24,15:49,1389,Capuchino,Bebidas,8,3.09,24.72,Efectivo,José,Centro,Lunes
217,2026-04-11,12:09,1422,Capuchino,Bebidas,2,3.1,6.2,SINPE,Luis,Norte,Viernes
218,2026-06-24,06:45,1141,Pan Integral,Pan,8,2.28,18.24,SINPE,Luis,Sur,Miércoles
219,2026-03-06,13:58,1545,Jugo Natural,Bebidas,8,2.81,22.48,Tarjeta,Sofía,Norte,Sábado
220,2026-02-08,10:35,1305,Pan Integral,Pan,5,2.22,11.1,Efectivo,Carlos,Norte,Sábado
221,2026-03-18,20:59,1738,Dona,Repostería,8,1.18,9.44,Tarjeta,Carlos,Centro,Viernes
222,2026-04-27,11:49,1149,Jugo Natural,Bebidas,7,2.91,20.37,Tarjeta,Ana,Norte,Sábado
223,2026-06-09,17:30,1219,Baguette,Pan,6,1.88,11.28,Efectivo,Sofía,Norte,Viernes
224,2026-05-24,15:15,1248,Galletas,Repostería,5,3.37,16.85,Efectivo,José,Sur,Martes
225,2026-04-11,17:30,1102,Jugo Natural,Bebidas,4,2.67,10.68,SINPE,Luis,Centro,Viernes
226,2026-04-16,16:12,1774,Muffin,Repostería,3,2.38,7.14,Tarjeta,Carlos,Norte,Sábado
227,2026-02-18,17:46,1038,Pan Francés,Pan,2,0.46,0.92,Efectivo,María,Centro,Lunes
228,2026-02-24,19:59,1296,Pan Dulce,Pan,7,1.13,7.91,Efectivo,Ana,Norte,Viernes
229,2026-03-10,13:41,1556,Capuchino,Bebidas,2,3.34,6.68,SINPE,María,Centro,Domingo
230,2026-01-11,08:46,1469,Café,Bebidas,8,1.95,15.6,SINPE,Carlos,Sur,Martes
231,2026-05-22,18:12,1179,Pan Francés,Pan,6,0.46,2.76,SINPE,José,Norte,Domingo
232,2026-06-04,08:08,1488,Empanada Pollo,Salado,6,2.4,14.4,Tarjeta,Luis,Centro,Miércoles
233,2026-03-11,10:37,1740,Empanada Pollo,Salado,4,2.49,9.96,SINPE,Ana,Norte,Sábado
234,2026-01-15,10:10,1415,Queque Vainilla,Pasteles,4,9.56,38.24,SINPE,Sofía,Sur,Domingo
235,2026-03-12,15:14,1224,Queque Chocolate,Pasteles,2,12.17,24.34,Efectivo,María,Centro,Jueves
236,2026-05-16,18:34,1680,Galletas,Repostería,6,3.47,20.82,Efectivo,Luis,Sur,Domingo
237,2026-05-23,11:04,1577,Capuchino,Bebidas,2,3.21,6.42,Efectivo,Ana,Sur,Viernes
238,2026-05-15,07:43,1210,Dona,Repostería,3,1.16,3.48,SINPE,Sofía,Norte,Lunes
239,2026-04-05,14:26,1467,Muffin,Repostería,8,2.47,19.76,SINPE,Ana,Sur,Jueves
240,2026-04-09,19:00,1763,Jugo Natural,Bebidas,5,2.86,14.3,Efectivo,Sofía,Centro,Lunes
241,2026-05-02,20:57,1070,Empanada Pollo,Salado,6,2.55,15.3,Tarjeta,Ana,Norte,Jueves
242,2026-06-21,12:23,1391,Croissant,Repostería,3,1.54,4.62,Tarjeta,María,Norte,Lunes
243,2026-03-04,08:34,1402,Jugo Natural,Bebidas,3,2.84,8.52,SINPE,Luis,Sur,Martes
244,2026-03-15,16:46,1557,Pan Dulce,Pan,1,1.13,1.13,Tarjeta,Sofía,Norte,Domingo
245,2026-02-09,09:59,1742,Dona,Repostería,4,1.2,4.8,Efectivo,Ana,Sur,Jueves
246,2026-01-04,15:02,1457,Capuchino,Bebidas,1,3.12,3.12,SINPE,José,Sur,Domingo
